github.com/AlDanial/cloc v 2.02  T=650.17 s (30.0 files/s, 5490.0 lines/s)
---------------------------------------------------------------------------------------
Language                             files          blank        comment           code
---------------------------------------------------------------------------------------
JavaScript                           10274         117294         223486        2034591
TypeScript                            3158          44049         319403         341704
JSON                                  2223             27              0         202592
Markdown                               666          27548            447          69073
Rust                                   173           8594          10682          45810
HTML                                  1194            527             41          44503
D                                     1458           3794              0          24225
Text                                    24           2014              0           9852
SVG                                     94          12646            189           5644
CSS                                     31            451            516           5125
Perl                                     3            304             82           2892
Python                                  16            554            531           1798
Bourne Shell                            60            350            166           1773
PowerShell                              48             65            207           1032
CSV                                      1              0              0           1003
DOS Batch                               41             82              0            615
SCSS                                     3            128             49            564
YAML                                    28            106            130            478
Windows Module Definition                5             83              0            451
XML                                      1             13              6            215
make                                     2             49             22            158
SQL                                      5             31             77            144
PHP                                      1             13             19            124
TOML                                     8             22             35            114
Bourne Again Shell                       2             11              1             43
Mustache                                 1              5              0             38
INI                                      1              8              0             29
CoffeeScript                             1              1              0              0
---------------------------------------------------------------------------------------
SUM:                                 19522         218769         556089        2794590
---------------------------------------------------------------------------------------
