github.com/AlDanial/cloc v 2.02  T=1.55 s (410.8 files/s, 72054.5 lines/s)
----------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                       blank        comment           code
----------------------------------------------------------------------------------------------------------------------------------------------
.\docs\implementation\frontend\component-specs\mahjong-ui-mockup.html                                        148             19           1100
.\apps\client\src\lib\game-events\publicEventHandlers.playing.test.ts                                        133             21            887
.\crates\mahjong_core\tests\charleston_flow.rs                                                               127             66            746
.\tarpaulin-report.html                                                                                       55              0            739
.\crates\mahjong_server\tests\full_game_lifecycle.rs                                                          56             41            662
.\crates\mahjong_server\tests\replay_reconstruction.rs                                                        87             81            658
.\apps\client\src\components\game\phases\CharlestonPhase.tsx                                                  42             86            646
.\apps\client\src\lib\game-events\privateEventHandlers.test.ts                                               116             22            594
.\crates\mahjong_server\tests\history_websocket_e2e.rs                                                        96            223            592
.\apps\client\src\lib\game-events\publicEventHandlers.test.ts                                                118             12            585
.\apps\client\src\features\game\calling-pung-kong-quint.integration.test.tsx                                  68             35            561
.\scripts\card_tools\convert_legacy_to_unified.py                                                            197            323            526
.\docs\implementation\frontend\tests\user-testing-plan.md                                                    170              0            506
.\apps\client\src\components\game\ActionBar.tsx                                                               41             57            503
.\apps\client\src\features\game\CharlestonSecondCharleston.integration.test.tsx                              131             57            502
.\crates\mahjong_server\src\network\events.rs                                                                 34             80            498
.\crates\mahjong_core\tests\phase2_meld_validation.rs                                                        111             53            488
.\apps\client\src\components\game\phases\PlayingPhase.test.tsx                                                84             55            473
.\crates\mahjong_server\tests\networking_integration.rs                                                       78              0            461
.\crates\mahjong_core\src\scoring.rs                                                                          85            230            454
.\apps\client\src\components\game\phases\CharlestonPhase.test.tsx                                             58             16            452
.\crates\mahjong_server\src\network\room\mod.rs                                                              114            181            439
.\apps\client\src\hooks\useHistoryPlayback.ts                                                                 37              0            436
.\apps\client\src\components\game\ActionBar.test.tsx                                                         103             13            435
.\docs\implementation\frontend\Visual-Redesign-20220222.md                                                   157              0            432
.\crates\mahjong_server\src\network\commands.rs                                                               69             98            424
.\apps\client\src\hooks\useCallWindowState.test.ts                                                            98             25            412
.\crates\mahjong_core\src\table\validation.rs                                                                 44            123            409
.\apps\client\src\components\game\Tile.test.tsx                                                              155             46            407
.\crates\mahjong_core\src\table\handlers\charleston.rs                                                        73            145            405
.\crates\mahjong_core\tests\phase4_dead_hand_rules.rs                                                         91             72            404
.\apps\client\src\hooks\useGameEvents.test.ts                                                                 75             22            399
.\crates\mahjong_server\src\network\messages.rs                                                               74            263            395
.\apps\client\src\components\game\phases\playing-phase\PlayingPhaseOverlays.tsx                               24              0            393
.\crates\mahjong_ai\src\strategies\greedy.rs                                                                  85            105            391
.\crates\mahjong_server\src\stats.rs                                                                          52            202            391
.\apps\client\src\lib\game-events\publicEventHandlers.playing.ts                                              53              2            378
.\crates\mahjong_server\tests\common\mod.rs                                                                   43              4            376
.\crates\mahjong_ai\src\evaluation.rs                                                                         72            194            370
.\apps\client\src\hooks\useGameEvents.ts                                                                      41             79            367
.\crates\mahjong_server\src\network\admin.rs                                                                  62            172            366
.\crates\mahjong_server\src\network\websocket\room_actions.rs                                                 64            178            361
.\crates\mahjong_server\src\analysis\comparison.rs                                                            85            139            360
.\crates\mahjong_server\src\analysis\mod.rs                                                                   76            163            359
.\crates\mahjong_core\tests\phase5_charleston_rules.rs                                                        56             45            358
.\apps\client\src\features\game\CharlestonVoting.integration.test.tsx                                         99             52            357
.\crates\mahjong_server\src\analysis\worker.rs                                                                62             74            356
.\crates\mahjong_ai\src\hint\mod.rs                                                                           49             72            348
.\apps\client\src\features\room\CreateRoom.integration.test.tsx                                               93             50            346
.\apps\client\src\hooks\useTileSelection.test.ts                                                              71             25            339
.\apps\client\src\lib\game-logic\callIntentCalculator.test.ts                                                 54             11            338
.\apps\client\src\components\game\GameBoard.tsx                                                               26             72            337
.\apps\client\src\hooks\usePlayingPhaseState.test.ts                                                          79             16            337
.\crates\mahjong_core\src\table\handlers\playing.rs                                                           75            113            335
.\crates\mahjong_core\src\command.rs                                                                          69            153            334
.\crates\mahjong_core\src\table\tests.rs                                                                      74             19            333
.\crates\mahjong_core\src\table\handlers\win.rs                                                               67            144            325
.\crates\mahjong_ai\src\mcts\engine.rs                                                                        81            280            324
.\crates\mahjong_server\src\main.rs                                                                           50             78            322
.\PLANNING.md                                                                                                104              0            321
.\nmjl_mahjongg-rules.md                                                                                     273              0            320
.\apps\client\src\hooks\useHistoryData.ts                                                                     51            110            318
.\apps\client\src\components\game\CallResolutionOverlay.test.tsx                                              45             14            316
.\apps\client\src\lib\game-events\privateEventHandlers.ts                                                     56            206            313
.\apps\client\src\components\game\HistoryPanel.tsx                                                            34             47            309
.\apps\client\src\components\game\phases\playing-phase\PlayingPhasePresentation.tsx                           11              1            306
.\apps\client\src\components\game\phases\playing-phase\PlayingPhasePresentation.test.tsx                       8              0            305
.\crates\mahjong_server\tests\history_integration_tests.rs                                                    65             46            302
.\apps\client\src\features\game\MahjongCalledDiscard.integration.test.tsx                                     48             17            301
.\apps\client\src\features\game\DeadHandFlow.integration.test.tsx                                             65             42            299
.\apps\client\src\pages\LobbyScreen.tsx                                                                       42             53            296
.\apps\client\src\features\game\CharlestonCourtesyPass.integration.test.tsx                                   96             63            295
.\crates\mahjong_core\src\table\mod.rs                                                                        43            234            293
.\apps\client\src\components\game\phases\SetupPhase.test.tsx                                                  52              9            291
.\crates\mahjong_server\src\network\session.rs                                                                47            176            291
.\apps\client\src\hooks\useCharlestonState.test.ts                                                            80              9            290
.\crates\mahjong_server\src\network\websocket\auth.rs                                                         38            175            289
.\docs\planning\blind-pass-redesign-plan.md                                                                  136              0            288
.\crates\mahjong_server\src\network\bot_runner.rs                                                             31             59            286
.\crates\mahjong_core\tests\phase1_win_call_flow.rs                                                           56             54            283
.\apps\client\src\components\game\PlayerRack.test.tsx                                                         58             22            281
.\apps\client\src\features\game\CharlestonFirstAcross.integration.test.tsx                                    57             53            280
.\crates\mahjong_server\tests\visibility_tests.rs                                                             30              6            277
.\apps\client\src\features\game\CallPriorityResolution.integration.test.tsx                                   46             40            275
.\docs\implementation\frontend\component-specs\UI-LAYOUT-SPEC.md                                              98              0            274
.\crates\mahjong_ai\src\probability.rs                                                                        78            290            268
.\crates\mahjong_core\tests\phase3_joker_rules.rs                                                             70             89            268
.\apps\client\src\features\game\CallWindow.integration.test.tsx                                               49             35            266
