year,section,line,pattern_id,hand_key,hand_pattern,hand_criteria,hand_points,hand_conceiled,sequence,tile_1_id,tile_1_joker,tile_2_id,tile_2_joker,tile_3_id,tile_3_joker,tile_4_id,tile_4_joker,tile_5_id,tile_5_joker,tile_6_id,tile_6_joker,tile_7_id,tile_7_joker,tile_8_id,tile_8_joker,tile_9_id,tile_9_joker,tile_10_id,tile_10_joker,tile_11_id,tile_11_joker,tile_12_id,tile_12_joker,tile_13_id,tile_13_joker,tile_14_id,tile_14_joker,
2025,2025,1,1,2025-2025-1-1,FFFF 2025 222 222,"Any 3 Suits, Like Pungs 2s or 5s In Opp. Suits",25,FALSE,1,flower,no,flower,no,flower,no,flower,no,2B,no,white,no,2B,no,5B,no,2C,yes,2C,yes,2C,yes,2D,yes,2D,yes,2D,yes,
2025,2025,1,1,2025-2025-1-1,FFFF 2025 222 222,"Any 3 Suits, Like Pungs 2s or 5s In Opp. Suits",25,FALSE,2,flower,no,flower,no,flower,no,flower,no,2B,no,white,no,2B,no,5B,no,5C,yes,5C,yes,5C,yes,5D,yes,5D,yes,5D,yes,
2025,2025,1,1,2025-2025-1-1,FFFF 2025 222 222,"Any 3 Suits, Like Pungs 2s or 5s In Opp. Suits",25,FALSE,3,flower,no,flower,no,flower,no,flower,no,2C,no,white,no,2C,no,5C,no,2B,yes,2B,yes,2B,yes,2D,yes,2D,yes,2D,yes,
2025,2025,1,1,2025-2025-1-1,FFFF 2025 222 222,"Any 3 Suits, Like Pungs 2s or 5s In Opp. Suits",25,FALSE,4,flower,no,flower,no,flower,no,flower,no,2C,no,white,no,2C,no,5C,no,5B,yes,5B,yes,5B,yes,5D,yes,5D,yes,5D,yes,
2025,2025,1,1,2025-2025-1-1,FFFF 2025 222 222,"Any 3 Suits, Like Pungs 2s or 5s In Opp. Suits",25,FALSE,5,flower,no,flower,no,flower,no,flower,no,2D,no,white,no,2D,no,5D,no,2B,yes,2B,yes,2B,yes,2C,yes,2C,yes,2C,yes,
2025,2025,1,1,2025-2025-1-1,FFFF 2025 222 222,"Any 3 Suits, Like Pungs 2s or 5s In Opp. Suits",25,FALSE,6,flower,no,flower,no,flower,no,flower,no,2D,no,white,no,2D,no,5D,no,5B,yes,5B,yes,5B,yes,5C,yes,5C,yes,5C,yes,
2025,2025,2,1,2025-2025-2-1,222 0000 222 5555,Any 2 Suits,25,FALSE,1,2B,yes,2B,yes,2B,yes,white,yes,white,yes,white,yes,white,yes,2C,yes,2C,yes,2C,yes,5C,yes,5C,yes,5C,yes,5C,yes,
2025,2025,2,1,2025-2025-2-1,222 0000 222 5555,Any 2 Suits,25,FALSE,2,2B,yes,2B,yes,2B,yes,white,yes,white,yes,white,yes,white,yes,2D,yes,2D,yes,2D,yes,5D,yes,5D,yes,5D,yes,5D,yes,
2025,2025,2,1,2025-2025-2-1,222 0000 222 5555,Any 2 Suits,25,FALSE,3,2C,yes,2C,yes,2C,yes,white,yes,white,yes,white,yes,white,yes,2D,yes,2D,yes,2D,yes,5D,yes,5D,yes,5D,yes,5D,yes,
2025,2025,2,1,2025-2025-2-1,222 0000 222 5555,Any 2 Suits,25,FALSE,4,2C,yes,2C,yes,2C,yes,white,yes,white,yes,white,yes,white,yes,2B,yes,2B,yes,2B,yes,5B,yes,5B,yes,5B,yes,5B,yes,
2025,2025,2,1,2025-2025-2-1,222 0000 222 5555,Any 2 Suits,25,FALSE,5,2D,yes,2D,yes,2D,yes,white,yes,white,yes,white,yes,white,yes,2B,yes,2B,yes,2B,yes,5B,yes,5B,yes,5B,yes,5B,yes,
2025,2025,2,1,2025-2025-2-1,222 0000 222 5555,Any 2 Suits,25,FALSE,6,2D,yes,2D,yes,2D,yes,white,yes,white,yes,white,yes,white,yes,2C,yes,2C,yes,2C,yes,5C,yes,5C,yes,5C,yes,5C,yes,
2025,2025,3,1,2025-2025-3-1,2025 222 555 DDDD,Any 3 Suits,30,FALSE,1,2B,no,white,no,2B,no,5B,no,2C,yes,2C,yes,2C,yes,5C,yes,5C,yes,5C,yes,white,yes,white,yes,white,yes,white,yes,
2025,2025,3,1,2025-2025-3-1,2025 222 555 DDDD,Any 3 Suits,30,FALSE,2,2B,no,white,no,2B,no,5B,no,2D,yes,2D,yes,2D,yes,5D,yes,5D,yes,5D,yes,red,yes,red,yes,red,yes,red,yes,
2025,2025,3,1,2025-2025-3-1,2025 222 555 DDDD,Any 3 Suits,30,FALSE,3,2C,no,white,no,2C,no,5C,no,2B,yes,2B,yes,2B,yes,5B,yes,5B,yes,5B,yes,white,yes,white,yes,white,yes,white,yes,
2025,2025,3,1,2025-2025-3-1,2025 222 555 DDDD,Any 3 Suits,30,FALSE,4,2C,no,white,no,2C,no,5C,no,2D,yes,2D,yes,2D,yes,5D,yes,5D,yes,5D,yes,green,yes,green,yes,green,yes,green,yes,
2025,2025,3,1,2025-2025-3-1,2025 222 555 DDDD,Any 3 Suits,30,FALSE,5,2D,no,white,no,2D,no,5D,no,2B,yes,2B,yes,2B,yes,5B,yes,5B,yes,5B,yes,red,yes,red,yes,red,yes,red,yes,
2025,2025,3,1,2025-2025-3-1,2025 222 555 DDDD,Any 3 Suits,30,FALSE,6,2D,no,white,no,2D,no,5D,no,2C,yes,2C,yes,2C,yes,5C,yes,5C,yes,5C,yes,green,yes,green,yes,green,yes,green,yes,
2025,2025,4,1,2025-2025-4-1,FF 222 000 222 555,Any 3 Suits,30,TRUE,1,flower,no,flower,no,2B,yes,2B,yes,2B,yes,white,yes,white,yes,white,yes,2C,yes,2C,yes,2C,yes,5D,yes,5D,yes,5D,yes,
2025,2025,4,1,2025-2025-4-1,FF 222 000 222 555,Any 3 Suits,30,TRUE,2,flower,no,flower,no,2B,yes,2B,yes,2B,yes,white,yes,white,yes,white,yes,2D,yes,2D,yes,2D,yes,5C,yes,5C,yes,5C,yes,
2025,2025,4,1,2025-2025-4-1,FF 222 000 222 555,Any 3 Suits,30,TRUE,3,flower,no,flower,no,2C,yes,2C,yes,2C,yes,white,yes,white,yes,white,yes,2D,yes,2D,yes,2D,yes,5B,yes,5B,yes,5B,yes,
2025,2468,1,1,2025-2468-1-1,222 4444 666 8888,Any 1 or 2 Suits,25,FALSE,1,2B,yes,2B,yes,2B,yes,4B,yes,4B,yes,4B,yes,4B,yes,6B,yes,6B,yes,6B,yes,8B,yes,8B,yes,8B,yes,8B,yes,
2025,2468,1,1,2025-2468-1-1,222 4444 666 8888,Any 1 or 2 Suits,25,FALSE,2,2C,yes,2C,yes,2C,yes,4C,yes,4C,yes,4C,yes,4C,yes,6C,yes,6C,yes,6C,yes,8C,yes,8C,yes,8C,yes,8C,yes,
2025,2468,1,1,2025-2468-1-1,222 4444 666 8888,Any 1 or 2 Suits,25,FALSE,3,2D,yes,2D,yes,2D,yes,4D,yes,4D,yes,4D,yes,4D,yes,6D,yes,6D,yes,6D,yes,8D,yes,8D,yes,8D,yes,8D,yes,
2025,2468,1,2,2025-2468-1-2,222 4444 666 8888,Any 1 or 2 Suits,25,FALSE,1,2B,yes,2B,yes,2B,yes,4B,yes,4B,yes,4B,yes,4B,yes,6C,yes,6C,yes,6C,yes,8C,yes,8C,yes,8C,yes,8C,yes,
2025,2468,1,2,2025-2468-1-2,222 4444 666 8888,Any 1 or 2 Suits,25,FALSE,2,2B,yes,2B,yes,2B,yes,4B,yes,4B,yes,4B,yes,4B,yes,6D,yes,6D,yes,6D,yes,8D,yes,8D,yes,8D,yes,8D,yes,
2025,2468,1,2,2025-2468-1-2,222 4444 666 8888,Any 1 or 2 Suits,25,FALSE,3,2C,yes,2C,yes,2C,yes,4C,yes,4C,yes,4C,yes,4C,yes,6B,yes,6B,yes,6B,yes,8B,yes,8B,yes,8B,yes,8B,yes,
2025,2468,1,2,2025-2468-1-2,222 4444 666 8888,Any 1 or 2 Suits,25,FALSE,4,2C,yes,2C,yes,2C,yes,4C,yes,4C,yes,4C,yes,4C,yes,6D,yes,6D,yes,6D,yes,8D,yes,8D,yes,8D,yes,8D,yes,
